District,Production(Tonnes),Mean Price(Rs./Quintal)
Channarayapatna_2005_8_August,258,409
Chikkamagalore_2005_8_August,5,350
Davangere_2005_8_August,75,469
Doddaballa Pur_2005_8_August,17,508
Gubbi_2005_8_August,351,391
Gundlupet_2005_8_August,3,500
Harappana Halli_2005_8_August,448,422
Harihara_2005_8_August,707,460
Hassan_2005_8_August,823,405
Holenarsipura_2005_8_August,381,359
Honnali_2005_8_August,84,412
Hoovinahadagali_2005_8_August,2,450
Hosadurga_2005_8_August,222,401
Hospet_2005_8_August,12,457
Huliyar_2005_8_August,762,407
K.R.Nagar_2005_8_August,96,434
Kadur_2005_8_August,359,410
Kottur_2005_8_August,11,420
Kunigal_2005_8_August,402,427
Mysore (Bandipalya)_2005_8_August,135,413
Nagamangala_2005_8_August,341,458
Piriya Pattana_2005_8_August,110,466
Ranebennur_2005_8_August,21,467
Shikaripura_2005_8_August,33,400
Shimoga_2005_8_August,229,492
Sira_2005_8_August,22,492
Tarikere_2005_8_August,294,429
Tumkur_2005_8_August,107,504
Arasikere_2006_1_January,136,405
Bangalore_2006_1_January,730,560
Belur_2006_1_January,194,402
Bhadravathi_2006_1_January,2,450
Chamaraj Nagar_2006_1_January,10,460
Channapatana_2006_1_January,1,400
Channarayapatna_2006_1_January,168,401
Chikkamagalore_2006_1_January,11,400
Chintamani_2006_1_January,161,402
Davangere_2006_1_January,197,473
Doddaballa Pur_2006_1_January,21,520
Gowribidanoor_2006_1_January,25,575
Gubbi_2006_1_January,419,394
Gundlupet_2006_1_January,2,450
Harappana Halli_2006_1_January,58,407
Hassan_2006_1_January,332,409
Haveri_2006_1_January,4,450
Honnali_2006_1_January,10,400
Hosadurga_2006_1_January,71,402
Huliyar_2006_1_January,89,386
K.R. Pet_2006_1_January,139,408
Kadur_2006_1_January,17,428
Kollegal_2006_1_January,26,483
Kottur_2006_1_January,3,402
Kunigal_2006_1_January,681,435
Mysore (Bandipalya)_2006_1_January,66,412
Nagamangala_2006_1_January,568,475
Pavagada_2006_1_January,2,500
Piriya Pattana_2006_1_January,109,402
Ranebennur_2006_1_January,2,520
Santhesargur_2006_1_January,10,400
Shimoga_2006_1_January,1,530
Sira_2006_1_January,38,500
T. Narasipura_2006_1_January,5,540
Tarikere_2006_1_January,61,403
Tumkur_2006_1_January,271,453
Arasikere_2006_8_August,12,450
Bangalore_2006_8_August,1350,657
Belur_2006_8_August,133,461
Chamaraj Nagar_2006_8_August,15,475
Channarayapatna_2006_8_August,42,420
Chintamani_2006_8_August,142,441
Davangere_2006_8_August,45,479
Doddaballa Pur_2006_8_August,8,525
Gowribidanoor_2006_8_August,8,425
Gubbi_2006_8_August,42,418
Gundlupet_2006_8_August,9,575
H.B. Halli_2006_8_August,9,400
Hassan_2006_8_August,619,464
Haveri_2006_8_August,17,525
Holenarsipura_2006_8_August,510,391
Honnali_2006_8_August,116,420
Huliyar_2006_8_August,90,426
K.R. Pet_2006_8_August,6,400
K.R.Nagar_2006_8_August,76,486
Kanakapura_2006_8_August,9,350
Kollegal_2006_8_August,12,510
Madhugiri_2006_8_August,11,448
Mysore (Bandipalya)_2006_8_August,205,484
Nagamangala_2006_8_August,237,477
Piriya Pattana_2006_8_August,114,446
Ranebennur_2006_8_August,105,515
Shimoga_2006_8_August,142,542
Sira_2006_8_August,18,525
Srirangapattana_2006_8_August,8,600
Tarikere_2006_8_August,213,456
Tumkur_2006_8_August,400,520
Arasikere_2007_1_January,217,627
Bangalore_2007_1_January,471,950
Belur_2007_1_January,28,500
Chickkaballapura_2007_1_January,8,450
Chikkamagalore_2007_1_January,7,600
Chintamani_2007_1_January,34,638
Davangere_2007_1_January,17,569
Gowribidanoor_2007_1_January,11,625
Gubbi_2007_1_January,1,500
Gundlupet_2007_1_January,1,500
H.B. Halli_2007_1_January,5,500
Harihara_2007_1_January,8,550
Hassan_2007_1_January,350,621
Holenarsipura_2007_1_January,244,546
Huliyar_2007_1_January,40,591
K.R. Pet_2007_1_January,5,600
Kottur_2007_1_January,8,582
Mysore (Bandipalya)_2007_1_January,47,655
Nagamangala_2007_1_January,328,623
Piriya Pattana_2007_1_January,62,561
Ramanagara_2007_1_January,5,750
Santhesargur_2007_1_January,10,350
Shimoga_2007_1_January,6,600
Sira_2007_1_January,16,611
Tarikere_2007_1_January,20,517
Tumkur_2007_1_January,72,653
Arasikere_2007_8_August,638,654
Bangalore_2007_8_August,836,920
Bangarpet_2007_8_August,85,1550
Bhadravathi_2007_8_August,22,608
Channagiri_2007_8_August,78,578
Chickkaballapura_2007_8_August,1,650
Chikkamagalore_2007_8_August,20,613
Chintamani_2007_8_August,123,650
Davangere_2007_8_August,20,711
Doddaballa Pur_2007_8_August,9,600
Gubbi_2007_8_August,26,628
Harappana Halli_2007_8_August,10,650
Hassan_2007_8_August,398,700
Hirekerur_2007_8_August,10,400
Holenarsipura_2007_8_August,257,630
Honnali_2007_8_August,13,400
Hosadurga_2007_8_August,105,641
Huliyar_2007_8_August,81,637
Hunsur_2007_8_August,6,752
K.R. Pet_2007_8_August,3,625
K.R.Nagar_2007_8_August,15,550
Kadur_2007_8_August,75,609
Kollegal_2007_8_August,5,700
Madhugiri_2007_8_August,7,683
Mysore (Bandipalya)_2007_8_August,71,674
Nagamangala_2007_8_August,226,721
Piriya Pattana_2007_8_August,82,638
Ranebennur_2007_8_August,10,750
Sira_2007_8_August,12,718
Tarikere_2007_8_August,161,606
Tumkur_2007_8_August,148,730
Arasikere_2008_1_January,626,601
Bangalore_2008_1_January,576,900
Bangarpet_2008_1_January,158,1533
Belur_2008_1_January,6,510
Bhadravathi_2008_1_January,1,650
Channarayapatna_2008_1_January,59,558
Chickkaballapura_2008_1_January,4,600
Chikkamagalore_2008_1_January,10,550
Chintamani_2008_1_January,161,755
Davangere_2008_1_January,34,669
Doddaballa Pur_2008_1_January,10,600
Gowribidanoor_2008_1_January,3,660
Gubbi_2008_1_January,39,483
Harappana Halli_2008_1_January,36,535
Hassan_2008_1_January,437,625
Holenarsipura_2008_1_January,321,550
Hosadurga_2008_1_January,81,605
K.R. Pet_2008_1_January,4,600
K.R.Nagar_2008_1_January,6,316
Kadur_2008_1_January,66,598
Kollegal_2008_1_January,18,677
Koppa_2008_1_January,5,700
Kunigal_2008_1_January,17,611
Mysore (Bandipalya)_2008_1_January,213,613
Nagamangala_2008_1_January,528,704
Piriya Pattana_2008_1_January,162,595
Ramanagara_2008_1_January,4,480
Shimoga_2008_1_January,13,625
Sira_2008_1_January,33,618
Srirangapattana_2008_1_January,14,550
Tarikere_2008_1_January,29,623
Tumkur_2008_1_January,285,632
Arasikere_2008_8_August,990,725
Bangalore_2008_8_August,812,931
Belur_2008_8_August,30,688
Chamaraj Nagar_2008_8_August,20,700
Channarayapatna_2008_8_August,77,652
Chikkamagalore_2008_8_August,8,686
Chintamani_2008_8_August,74,708
Davangere_2008_8_August,17,780
Gowribidanoor_2008_8_August,4,800
Gubbi_2008_8_August,111,661
Harappana Halli_2008_8_August,155,721
Hassan_2008_8_August,1147,762
Hirekerur_2008_8_August,11,500
Holenarsipura_2008_8_August,616,642
Honnali_2008_8_August,16,750
Hosadurga_2008_8_August,178,701
Huliyar_2008_8_August,322,795
Hunsur_2008_8_August,10,820
Jagalur_2008_8_August,16,750
K.R. Pet_2008_8_August,97,713
Kadur_2008_8_August,15,790
Kollegal_2008_8_August,6,800
Koppa_2008_8_August,2,625
